 RAW,16.875,0,926,772,1022,568,608,272,446.5,483.2,377.5,1
 PROC,16.875,0,41,42,0.9762,1.3838,1.0000,+0.00,+0.00,0.0241,-0.2914,394
 RAW,17.000,1,925,913,864,925,772,864,566.1,555.4,499.1,0
 RAW,17.125,0,53,49,26,568,608,272,566.6,568.5,442.3,0
 RAW,17.250,1,435,407,758,435,407,758,533.7,528.1,521.2,0
 RAW,17.375,0,993,977,993,925,772,864,631.5,589.1,606.9,0
 PROC,17.375,0,98,61,1.6066,1.4284,1.0000,+0.00,+0.00,-0.4654,-0.3262,563
 RAW,17.500,1,158,282,35,435,407,758,582.4,543.6,644.7,0
 RAW,17.625,0,91,108,150,158,282,150,476.3,478.2,521.0,0
 PROC,17.625,0,106,65,1.6308,1.4688,1.0000,+0.00,+0.00,-0.4795,-0.3569,582
 RAW,17.750,1,985,985,1021,435,407,758,466.0,460.4,580.3,1
 RAW,17.875,0,575,614,283,575,614,283,493.2,498.8,506.0,0
 RAW,18.000,1,51,58,50,158,282,150,409.4,444.6,417.0,0
 RAW,18.125,0,918,761,1023,575,614,283,450.8,486.9,383.5,1
 PROC,18.125,0,41,42,0.9762,1.3703,1.0000,+0.00,+0.00,0.0241,-0.2807,399
 RAW,18.250,1,930,913,853,918,761,853,567.6,555.5,500.9,0
 RAW,18.375,0,54,51,26,575,614,283,569.5,570.1,446.4,0
 RAW,18.500,1,416,388,722,416,388,722,531.1,524.6,515.3,0
 RAW,18.625,0,992,977,997,918,761,853,627.8,583.7,599.7,0
 PROC,18.625,0,96,59,1.6271,1.4217,1.0000,+0.00,+0.00,-0.4774,-0.3200,557
 RAW,18.750,1,173,293,32,416,388,722,574.9,534.8,630.3,0
 RAW,18.875,0,76,102,143,173,293,143,474.4,474.3,508.5,0
 PROC,18.875,0,100,60,1.6667,1.4707,1.0000,+0.00,+0.00,-0.5000,-0.3560,569
 RAW,19.000,1,986,982,1020,416,388,722,459.8,452.7,561.9,1
 RAW,19.125,0,589,622,298,589,622,298,492.1,495.1,495.9,0
 PROC,19.125,0,33,43,0.7674,1.3300,1.0000,+0.00,+0.00,0.2632,-0.2322,528
 RAW,19.250,1,52,57,46,173,293,143,412.3,444.5,407.7,0
 RAW,19.375,0,907,754,1023,589,622,298,456.5,488.9,380.2,1
 PROC,19.375,0,44,44,1.0000,1.2640,1.0000,+0.00,+0.00,-0.0000,-0.1858,393
